No,Kecamatan,Kelurahan,Nama Perusahaan,Lokasi Menara,Latitude_rev,Longitude_rev,Longitude,Latitude,Tinggi Tower,Struktur Tower,Data IMB
36,Antapani,Antapani Wetan,PT. Protelindo, Tbk,Jl. Sindang Sari III No. 5A,-6.91036,107.66393,107.66393,-6.91036,18,4 Kaki,663.10/0004/IMBT/I/2016/BPPT
37,Antapani,Antapani Kidul,PT. Protelindo, Tbk,Jl. Cibodas No. 7 RT  06 RW  08,-6.91985,107.66277,107.66277,-6.91985,18,Pole,503.645/1375/BPPT
38,Antapani,Antapani Tengah,PT. Protelindo, Tbk,Jl. Terusan Jakarta No. 184 RT 01/14 ,-6.91433,107.66167,107.66167,-6.91433,6,Pole,-
39,Antapani,Antapani Kidul,PT. Protelindo, Tbk,Jl. Cibodas,-6.92447,107.66462,107.66462,-6.92447,30,4 Kaki,503.645/831/BPPT
40,Antapani,Antapani Kulon,PT. Indosat, Tbk,Terusan Jakarta RT 03/07,-6.913443,107.659865,107.659865,-6.913443,31,Pole,503.645/SI-3066 Disbang/2002
41,Antapani,Babakan Surabaya,PT. Indosat, Tbk,Ji. Terusan Jakarta No. 53 RT 01/12 Gang Sukakarya (Borma Antapani),-6.9119167,107.6491489,107.6491489,-6.9119167,30,Pole,503.645/51-0831 Disbang/2007
42,Antapani,Parakan Saat,PT. Tower Bersama Group,Jl. Cibodas,-6.92486,107.664,107.664,-6.92486,53,4 Kaki,503.645.4/SI-0079/Dpb TAHUN 1998
43,Antapani,Antapani Wetan,PT. Tower Bersama Group,Jl. Sindang Sari RT 03/09 (Jl. Ciharu Kuku),-6.91189,107.663,107.663,-6.91189,36,4 Kaki,503.645/3033/BPPT
44,Antapani,Antapani Kidul,PT. Tower Bersama Group,Jl. Randu Sari Raya,-6.92627,107.661,107.661,-6.92627,46,4 Kaki,503.645/273/BPPT/2010
45,Antapani,Antapani Tengah,PT. Tower Bersama Group,Jl. Terusan Jakarta 112,-6.91275,107.655,107.655,-6.91275,6,Pole,503.644.4/641/BPPT
46,Antapani,Parakan Saat,PT. Telkomsel,Jl. Cibodas Raya,-6.926198,107.665087,107.665087,-6.926198,52,4 Kaki,-
47,Antapani,Antapani Tengah,PT. Telkomsel,Jl. Cikampek Raya,-6.916226,107.657434,107.657434,-6.916226,42,4 Kaki,-
48,Antapani,Antapani Kidul,PT. Telkomsel,Jl. Sukanagara,-6.9214,107.66,107.66,-6.9214,RT 15m,Pole Rooftop,IMB-Bdg 2015_52
49,Antapani,Antapani Kidul,PT. Telkomsel,Komp. Antapani Mas No.  B-18 RT 05/017,-6.92858,107.662,107.662,-6.92858,4.2,Pole,NO NEED
50,Antapani,Antapani Kulon,PT. Telkomsel,Jl. Antapani Lama No. 8 RT 02 RW 03,-6.9083,107.6582,107.6582,-6.9083,6,Pole,NO NEED
51,Antapani,Cisaranten Endah,PT. Telkomsel,Jl. Lio Girang RT 04 RW 07,-6.93595,107.67423,107.67423,-6.93595,6,Pole,NO NEED
52,Antapani,Antapani Tengah,PT. Telkomsel,Jl. Purwakarta No. 13,-6.91471,107.65287,107.65287,-6.91471,6,Pole,NO NEED
53,Antapani,Antapani Kulon,PT. Telkomsel,Jl. Kalijati Indah Selatan No. 8 RT 05 RW 05,-6.909508,107.655831,107.655831,-6.909508,6,Pole,NO NEED
54,Antapani,Antapani Wetan,PT. Telkomsel,Jl. Sentra Dago Timur Raya No. 14,-6.91017,107.66048,107.66048,-6.91017,4.2,Pole,NO NEED
55,Antapani,Antapani Wetan,PT. Telkomsel,Jl. Sindangsari I RT  03 RW  08,-6.907735,107.664626,107.664626,-6.907735,6,Pole,NO NEED
56,Antapani,Antapani Kidul,PT. Telkomsel,Jl. Terusan Jakarta No. 290,-6.914441,107.664421,107.664421,-6.914441,6,Pole,NO NEED
57,Antapani,Antapani Kidul,PT. Centratama Menara Indonesia,Jl. Kadipaten Raya 9 No. 2 RT 05 RW  01,-6.918444,107.655306,107.655306,-6.918444,12,Pole,503.645/1756/BPPT 2015
58,Antapani,Antapani Tengah,PT. Centratama Menara Indonesia,Jl. Parakan Saat RT 01 RW  23,-6.92716,107.66738,107.66738,-6.92716,18,Pole,503.645/3766/BPPT 2014
59,Antapani,Antapani Kidul,PT. Xl Axiata, Tbk,Jl. Sari Indah Vb RT 07 RW 13,-6.92168,107.65483,-6.92168,107.65483,42,3 Kaki,503.645/SI-2510 Disbang/2006
60,Antapani,Antapani Wetan,PT. Xl Axiata, Tbk,Jl. Sindang Sari III RT 03 RW 13,-6.9087,107.66432,-6.9087,107.66432,42,3 Kaki,503.645/SI-2882 Disbang/2006
61,Antapani,Antapani Kidul,Naragita,An. Jl. Kawaluyaan Indah 17 No. 28,-6.93136,107.65985,107.65985,-6.93136,36,Pole,-
62,Antapani,Antapani Kidul,Naragita,Jl. Kawaluyaan Indah 17 No. 28,-6.93136,107.65985,107.65985,-6.93136,36,Pole,-
63,Antapani,Antapani Kidul,PT. Solusi Tunas Pratama,Jl. Babakan Sari No.  86/135 RT 04/RW 06,-6.92658,107.65988,107.65988,-6.92658,32,3 Kaki,503.645/3773/BPPT
64,Arcamanik,Cisaranten Kulon,PT. Protelindo,Jl. Komp. Cisaranten Indah No. 46/170 RT 03 RW  01,-6.91926,107.6843,107.6843,-6.91926,25,Monopole,503.645/5183/BPPT
65,Arcamanik,Cisaranten Kulon,PT. Protelindo, Tbk,Jl. Cisantern Baru  RT /RW  06/01 Kode Pos 40293,-6.91872,107.67975,107.67975,-6.91872,45,3 Kaki,503.645/SI-3462/DISBANG/06
66,Arcamanik,Cisaranten Kulon,PT. Protelindo, Tbk,Jl. Cingised Raya Gang Ulil Albab No. 1 RT 03 RW  16 Kode Pos 40293,-6.92879,107.67297,107.67297,-6.92879,30,3 Kaki,503.645/SI-0014Disbang/2007
67,Arcamanik,Cisaranten Bina Harapan,PT. Protelindo, Tbk,Jl. Pasar Sindanglaya II RT 01 RW  01,-6.90543,107.68029,107.68029,-6.90543,30,Pole,503.645/0966/BPPT
68,Arcamanik,Sukamiskin,PT. Protelindo, Tbk,Jl. Pesantren RT  01 RW  011,-6.90915,107.6785,107.6785,-6.90915,6,Pole,-
69,Arcamanik,Sukamiskin,PT. Protelindo, Tbk,Jl. Atletik II No.  27 RT 03 RW 13 Kode Pos 40293,-6.91924,107.67219,107.67219,-6.91924,42,3 Kaki,503.645/SI-3015 Disbang/2006
70,Arcamanik,Sukamiskin,PT. Protelindo, Tbk,Jl. Terusan Jakarta No. 280,-6.91604,107.66743,107.66743,-6.91604,31,4 Kaki,503.645/207/BPPT
71,Arcamanik,Cisaranten Kulon,Daya Mitra Telekomunikasi,Jl. Cisaranten Kulon,-6.934835,107.678806,107.678806,-6.934835,15,Pole,IMB - 503/524/BPPTPM/2012
72,Arcamanik,Cisaranten Kulon,Daya Mitra Telekomunikasi,Jl. Permata Taman Sari Raya RT 11,-6.917863,107.679689,107.679689,-6.917863,15,Pole,IMB - 503/1457/166/IMB/BPMPT/2013
73,Arcamanik,Sukamiskin,Daya Mitra Telekomunikasi,Jl. Banjarsari Indah A-If RT 03/RW 015,-6.919414,107.667069,107.667069,-6.919414,6,Pole,-
74,Arcamanik,Cisaranten Kulon,PT. Indosat, Tbk,Cisaranten Kulon No. 223 (Panca Tengah),-6.929318,107.681965,107.681965,-6.929318,42,4 Kaki,503.643.3/51-1664/Dpb TAHUN 1997
75,Arcamanik,Cisaranten Bina Harapan,PT. Indosat, Tbk,Jl. Pawenang II RT 03/06,-6.910188,107.688677,107.688677,-6.910188,52,4 Kaki,503.645/275/BPPT/2010
76,Arcamanik,Sukamiskin,PT. Indosat, Tbk,Sembrani No. 7,-6.90732,107.672181,107.672181,-6.90732,32,4 Kaki,503.645/SI-1778 Disbang/2001
77,Arcamanik,Cisaranten Bina Harapan,PT. Tower Bersama Group,Jl. Cicukang,-6.91333,107.684,-6.91333,107.684,31,3 Kaki,503.645/2746/BPPT
78,Arcamanik,Cisaranten Kulon,PT. Tower Bersama Group,Jl. Permata Bumi Raya,-6.92041,107.682,107.682,-6.92041,52,4 Kaki,503.645/458/BPPT
79,Arcamanik,Cisaranten Kulon,PT. Tower Bersama Group,Jl. Panca Tengah 1,-6.92937,107.682,107.682,-6.92937,20,Mcp,663.10/0003/IMBT/X/2016/BPPT
80,Arcamanik,Cisaranten Kulon,PT. Tower Bersama Group,Jl. Cisaranten,-6.93186,107.68,107.68,-6.93186,55,4 Kaki,503.645/SI-1894 Disbang/2004
81,Arcamanik,Cisaranten Kulon,PT. Tower Bersama Group,Jl. Permata Permai,-6.92327,107.677,107.677,-6.92327,32,4 Kaki,503.645/0633/BPPT
82,Arcamanik,Cisaranten Kulon,PT. Tower Bersama Group,Jl. Parakan Saat No. 5 RT )2/11,-6.93204,107.669,107.669,-6.93204,31,3 Kaki,503.645/3463/BPPT
83,Arcamanik,Cisaranten Kulon,PT. Solusi Tunas Pratama,Jl. Terusan Cisaranten Kulon No. 05 RT 08/ RW  07 ,-6.93692,107.67709,107.67709,-6.93692,6,Pole,503.645/SI.0795 Disbang/IV-07
84,Arcamanik,Cisaranten Bina Harapan,PT. Solusi Tunas Pratama,Jl. Gg. Pawenang I RT 02/05 Cipanjalu,-6.912,107.6877,107.6877,-6.912,20,Pole,Not Required
