No,Kecamatan,Kelurahan,Nama Perusahaan,Lokasi Menara,Latitude_rev,Longitude_rev,Longitude,Latitude,Tinggi Tower,Struktur Tower,Data IMB
146,Babakan Ciparay,Babakan,PT. Solusi Tunas Pratama,Jl. Caringin RT 02 RW 09,-6.940222222,107.5705,107.5705,-6.940222222,31,3 Kaki,647/24/IMB/DPMPTSPNAKER-2017
147,Babakan Ciparay,Babakan Ciparay,PT. Solusi Tunas Pratama,Jl. Caringin No. 180B RT 01 RW 05,-6.9432,107.57837,107.57837,-6.9432,20 + 3 (stacking),3 Kaki,05/KEP/IMB-MENARA/DPMPTP-2017
148,Babakan Ciparay,Margahayu Utara,PT. Telkomsel,Jl. Margagjaya III,-6.949438,107.576116,107.576116,-6.949438,52,4 Kaki,-
149,Babakan Ciparay,Margasuka,PT. Telkomsel,Jl. Kopo Mas Regency 9D,-6.959115,107.579849,107.579849,-6.959115,15,Pole Rooftop,-
150,Babakan Ciparay,Cirangrang,PT. Telkomsel,Jl. Kopo No. 469 RT 02/01,-6.952469,107.585402,107.585402,-6.952469,20,3 Kaki,-
151,Babakan Ciparay,Babakan Ciparay,PT. Telkomsel,Komp. Taman Surya Indah Jl. Soekarno  Hatta No. 150,-6.938319,107.581071,107.581071,-6.938319,20,3 Kaki,-
152,Babakan Ciparay,Babakan,PT. Telkomsel,Jl. Taman Lili Gardania,-6.929174,107.580812,107.580812,-6.929174,62,4 Kaki,-
153,Babakan Ciparay,Sukahaji,PT. Telkomsel,Jl. Suryani No. 19 RT 03 RW 10,-6.91969,107.58098,107.58098,-6.91969,4.2,Pole,NO NEED
154,Babakan Ciparay,Margasuka,PT. Telkomsel,Jl. Kopo Ciranrang No. 550 RT 05 RW  04,-6.95533,107.58292,107.58292,-6.95533,6,Pole,NO NEED
155,Babakan Ciparay,Margasuka,PT. Telkomsel,Jl. Kopo Mas G2 RT 02/01,-6.95616,107.57695,107.57695,-6.95616,6,Pole,NO NEED
156,Babakan Ciparay,Babakan Tarogong,PT. Telkomsel,Jl. Pasirkoja  No. 131 Bandung,-6.92623,107.59173,107.59173,-6.92623,6,Monopole,NO NEED
157,Babakan Ciparay,Babakan ,PT. Centratama Menara Indonesia,Jl. Holis 235 RT 01 RW  09,-6.93667,107.57073,107.57073,-6.93667,18,Pole,503.645/4095/BPPT 2013
158,Babakan Ciparay,Babakan Ciparay,PT. Centratama Menara Indonesia,Jl. Caringin 180C RT 01/05,-6.94362,107.57835,107.57835,-6.94362,20,4,503.645/3764/BPPT 2014
159,Babakan Ciparay,Sukahaji,PT. Centratama Menara Indonesia,Jl. Suryani No. 9 RT 03 RW  010,-6.919138,107.58127,107.58127,-6.919138,18,Pole,503.645/3765/BPPT 2014
160,Bojongloa Kaler,Suka Asih,PT. Xl Axiata, Tbk,Jl. Peta No. 226 RT  06/RW  05,-6.930083333,107.5883889,-6.930083333,107.5883889,30,4 Kaki,503.645/973/BPPT
161,Bandung Kulon,Cigondewah Rahayu,PT. Xl Axiata, Tbk,Jl. Cigondewah Kidul No. 40,-6.944388889,107.561,-6.944388889,107.561,30,4 Kaki,503.643.3/SI-1676/DPB TAHUN 1998
162,Babakan Ciparay,Margahayu Utara,PT. Xl Axiata, Tbk,Jl. Margajaya Timur III RT 03/06,-6.948638889,107.5775278,-6.948638889,107.5775278,30,3 Kaki,503.645/SI-0170 Disbang/2007
163,Babakan Ciparay,Cirangrang,PT. Xl Axiata, Tbk,Jl. Cirangrang Timur RT 03 RW 02,-6.955361111,107.5869722,-6.955361111,107.5869722,51,4 Kaki,05/SK.IMB/DB/2001
164,Babakan Ciparay,Sukahaji,PT. Xl Axiata, Tbk,Jl. Pagarsih 302 Kodya Bandung.,-6.92164,107.58447,-6.92164,107.58447,20,3 Kaki,503.645/SI-3271 Disbang/2006
165,Bojongloa Kaler,Jamika,PT. Xl Axiata, Tbk,Jl. Terusan Pasir Koja 195 Kodya Bandung,-6.92616,107.58829,-6.92616,107.58829,36,Pole,503.645/SI-1718 Disbang/2006
166,Babakan Ciparay,Babakan,PT. Xl Axiata, Tbk,Jl. Caringin 287-289 No. 287-289 RT 01/RW 03,-6.94379,107.57325,-6.94379,107.57325,25,3 Kaki,503.645/SI-2489 Disbang/2006
167,Babakan Ciparay,Margahayu Utara,PT. Permata Karya Perdana,Jl. Makam Caringin RT 08 RW  02,-6.96251,107.58089,107.58089,-6.96251,17,Pole,-
168,Babakan Ciparay,Margasuka,Naragita,Jl. Kopo No. 619 Kopo Mas Regency Blok N No. 10 A RT  02/01,-6.95807,107.57861,107.57861,-6.95807,30,Pole,-
169,Babakan Ciparay,Margasuka,Naragita,Jl. Kopo No. 619 Kopo Mas Regency Blok N No. 10 A RT  02/01,-6.95807,107.57861,107.57861,-6.95807,17,Kaki 3,-
170,Babakan Ciparay,Margasuka,Naragita,Jl. Kopo No. 619 Kopo Mas Regency Blok N No. 10 A RT  02/01,-6.95807,107.57861,107.57861,-6.95807,15,Pole,-
171,Babakan Ciparay,Margasuka,Naragita,Jl. Kopo No. 619 Kopo Mas Regency Blok N No. 10 A RT  02/10,-6.95807,107.57861,107.57861,-6.95807,6,Pole,-
172,Babakan Ciparay,Babakan Ciparay,Naragita,Jl. Caringin No. 141 RT  04/03,-6.94251,107.58089,107.58089,-6.94251,9,Pole,-
173,Bandung Kidul,Kujangsari,PT. Protelindo, Tbk,Jl. Ciparay,-6.95979,107.64347,107.64347,-6.95979,36,3 Kaki,503.645/2209/BPPT
174,Bandung Kidul,Kujangsari,PT. Protelindo, Tbk,Jl. Ters Buahbatu No. 275 RT 07 RW  06,-6.96293,107.63864,107.63864,-6.96293,25,4 Kaki,503.645/1359/BPPT
175,Bandung Kidul,Batununggal,PT. Protelindo, Tbk,Jl. Batununggal Permai I No. 87 RT 08 RW  01,-6.957,107.6305,107.6305,-6.957,12,Pole,503.645/0710/BPPT
176,Bandung Kidul,Kujangsari,PT. Protelindo, Tbk,Jl. Buanasari Iv RT 08 RW  04,-6.96509,107.64287,107.64287,-6.96509,41,3 Kaki,503.645/0223/BPPT
177,Bandung Kidul,Batununggal,PT. Protelindo, Tbk,Jl. Batu Nunggal,-6.95675,107.63765,107.63765,-6.95675,30,4 Kaki,503.645/1303/BPPT
178,Bandung Kidul,Kujangsari,PT. Protelindo, Tbk,Komplek Buah Batu Regensi A1 Kav No. 9 RT 09 RW 07 ,-6.96126,107.63999,107.63999,-6.96126,6,Pole,-
179,Bandung Kidul,Kujangsari,PT. Protelindo, Tbk,Jl. Buana Sari Iv RT 08 RW 04 ,-6.965,107.6428,107.6428,-6.965,18,Pole,503.645/3668/BPPT
180,Bandung Kidul,Batununggal,PT. Protelindo, Tbk,Jl. Soekarno  Hatta RT 04 RW  01 ,-6.94994,107.62372,107.62372,-6.94994,5,Pole,-
181,Bandung Kidul,Mengger,Daya Mitra Telekomunikasi,Jl. Batu Nunggal Indah,-6.964021,107.627058,107.627058,-6.964021,36,3 Kaki,IMB - 800/064/IMB/PUCK/OKUT/XII/2012
182,Bandung Kidul,Batununggal,Daya Mitra Telekomunikasi,Komp. Batu Nunggal Permai I,-6.956938,107.630501,107.630501,-6.956938,6,Pole,IMB-503.645/1594/BPPT
183,Bandung Kidul,Kujangsari,Daya Mitra Telekomunikasi,Jl. Terusan Buah Batu (Masjid Al-Hilal),-6.962835,107.638306,107.638306,-6.962835,9,Pole,IMB - 503.645/0211/BPPT
184,Bandung Kidul,Kujangsari,Daya Mitra Telekomunikasi,Jl. Bonasari 4 RT 08/04,-6.96501,107.642762,107.642762,-6.96501,25,Pole,IMB - 663.10/0013/IMBT/XII/2016/BPPT
185,Bandung Kidul,Batununggal,PT. Indosat, Tbk,Jl. Sukarno  Hatta No. 1 Batununggal,-6.948542,107.634141,107.634141,-6.948542,55,4 Kaki,503.644.4/219/BPMPPT/2008
186,Bandung Kidul,Batununggal,PT. Tower Bersama Group,Jl. Sekelimus Barat,-6.94998,107.637,107.637,-6.94998,31,3 Kaki,503.645/SI-3486 Disbang/2006
187,Bandung Kidul,Wates,PT. Tower Bersama Group,Jl. Naradirja,-6.96095,107.609,107.609,-6.96095,55,4 Kaki,503.645/SI.026 DISBANG/2005
188,Bandung Kidul,Batununggal,PT. Solusi Tunas Pratama,Jl. Terusan Buah Batu N0.36 Bandung,-6.95102,107.63605,107.63605,-6.95102,15,Pole,503.645/894/BPPT
189,Bandung Kidul,Batununggal,PT. Solusi Tunas Pratama,Jl. Waas II RT 07 RW  01,-6.95261,107.62675,107.62675,-6.95261,35,3 Kaki,503.645/SI-0796 Disbang/IV-07
190,Bandung Kidul,Batununggal,PT. Solusi Tunas Pratama,Jl. Batununggal Indah Iv No. 35 RT 07/RW 03 ,-6.95622222,107.6286389,107.6286389,-6.95622222,6,Pole,0149/IMB/KPTP/2016
191,Bandung Kidul,Kujangsari,PT. Solusi Tunas Pratama,Jl. Terusan Logam No. 5 RT 04/RW 05,-6.961277778,107.6446667,107.6446667,-6.961277778,6,Pole,648.1/120/11/2016
192,Bandung Kidul,Batununggal,PT. Telkomsel,Jl. Soekarno  Hatta,-6.949833,107.62381,107.62381,-6.949833,15,4 Kaki,IMB-Bdg 2011_9
193,Bandung Kidul,Mengger,PT. Telkomsel,Jl. Sukamanah No. 102 RT 03/02,-6.956775,107.622509,107.622509,-6.956775,36,4 Kaki,-
194,Bandung Kidul,Mengger,PT. Telkomsel,Jl. Cipagalo RW  03,-6.961458,107.63429,107.63429,-6.961458,42,4 Kaki,-
195,Bandung Kidul,Batununggal,PT. Telkomsel,Jl. Batununggal Indah Raya No. 189,-6.95415,107.62901,107.62901,-6.95415,6,Pole,NO NEED
196,Bandung Kidul,Batununggal,PT. Telkomsel,Jl. n Batu Indah VII No.  47 RT 04 RW 03 ,-6.95491,107.634,107.634,-6.95491,6,Pole,NO NEED
197,Bandung Kidul,Batununggal,PT. Telkomsel,Jl. Batununggal Indah Raya No. 51 RT 08 RW 01 ,-6.95329,107.624,107.624,-6.95329,4.2,Pole,NO NEED
198,Bandung Kidul,Batununggal,PT. Telkomsel,Jl. Soekarno  Hatta No. 354,-6.94918,107.63181,107.63181,-6.94918,6,Pole,NO NEED
199,Bandung Kidul,Mengger,PT. Telkomsel,Jl. Batununggal Indah Raya (Pilaria Butik) ,-6.9569,107.62656,107.62656,-6.9569,6,Pole,NO NEED
200,Bandung Kidul,Kujangsari,PT. Telkomsel,ÊJl. Ciparay Trs Buahbatu Komplek Nuansa Indah Blok R-8 ,-6.95957,107.64,107.64,-6.95957,4.2,Pole,NO NEED
201,Bandung Kidul,Mengger,PT. Telkomsel,Jl. Batununggal Mulia II No. 14 RT  03 RW  05 ,-6.960728,107.631388,107.631388,-6.960728,6,Pole,NO NEED
202,Bandung Kidul,Kujangsari,PT. Telkomsel,Komp. Buah Batu Regency Kav. G-7 No. 12 RT  03 RW  09 ,-6.96212,107.64178,107.64178,-6.96212,6,Pole,NO NEED
203,Bandung Kidul,Mengger,PT. Xl Axiata, Tbk,Jl. Batununggal Indah ÐII No. 70 Bandung Ð Jawa Barat,-6.962611111,107.6260556,-6.962611111,107.6260556,31,4 Kaki,503.645/1271/BPPT
204,Bandung Kidul,Mengger,PT. Xl Axiata, Tbk,Jl. Ters. Suratmi Kampung Mengger RT  03/02 ,-6.95706,107.62264,-6.95706,107.62264,42,3 Kaki,503.645/340/BPMPPT/2008
205,Bandung Kidul,Mengger,Hutchinson,Babakan Karees RT 05/RW 04,-6.9623,107.63448,107.63448,-6.9623,9,Pole,-
206,Bandung Kulon,Cibuntu,PT. Protelindo, Tbk,Jl. Holis No. 4 RT 04 RW  03,-6.91787,107.57602,107.57602,-6.91787,20,3 Kaki,503.645/633/BPPT
207,Bandung Kulon,Cigondewah Kaler,PT. Protelindo, Tbk,Jl. Kp. Blok Jambangan RT  02 RW  10,-6.9373,107.56168,107.56168,-6.9373,36,3 Kaki,503.645/14/BPMPPT/2010
208,Bandung Kulon,Cigondewah Kaler,PT. Protelindo, Tbk,Jl. Cicukang No. 26 RT 01 RW  08 ,-6.93655,107.56768,107.56768,-6.93655,30,3 Kaki,503.645/5180/BPPT
209,Bandung Kulon,Warung Muncang,PT. Protelindo, Tbk,Jl. Terusan Suryani No. 30 RT 01 RW  03 ,-6.92372,107.57973,107.57973,-6.92372,12,Pole,503.645/2400/BPPT
210,Bandung Kulon,Cigondewah Kidul,PT. Protelindo, Tbk,Jl. Komp. Taman Holis Indah (Blok Kasur) RT 03 RW  05 ,-6.94297,107.56031,107.56031,-6.94297,28,Pole,503.645/1974/BPPT
211,Bandung Kulon,Cigondewah Kaler,PT. Protelindo, Tbk,Jl. Cigondewah (Gempol) RT 02 RW  01 ,-6.9404,107.5574,107.5574,-6.9404,30,3 Kaki,503.645/1371/BPPT
212,Bandung Kulon,Cijerah,PT. Protelindo, Tbk,Jl. Gg. Ambia ,-6.92168,107.56764,107.56764,-6.92168,31,3 Kaki,663.10/0002/IMBT/XI/2015/BPPT
213,Bandung Kulon,Gempol Sari,PT. Protelindo, Tbk,Kp. Renggas RT  04 RW  06 ,-6.93032,107.54964,107.54964,-6.93032,31,3 Kaki,503.645/340/BPPT
214,Bandung Kulon,Cigondewah Kaler,Daya Mitra Telekomunikasi,Jl. Cigondewah Kaler No. 15 RT 01/,-6.934936,107.562335,107.562335,-6.934936,24,Pole,IMB - 503.645/1591/BPPT
215,Bandung Kulon,Caringin,Daya Mitra Telekomunikasi,Jl. Holis (Indomaret) 010,-6.926192,107.574586,107.574586,-6.926192,10,Pole,IMB - 503.645/1593/BPPT
216,Bandung Kulon,Cijerah,Daya Mitra Telekomunikasi,Jl. Cijerah ,-6.918624,107.570517,107.570517,-6.918624,12,Pole,IMB - 503.645/1931/BPPT
217,Bandung Kulon,Cigondewah Rahayu,PT. Indosat, Tbk,Tb Rahayu II Ji. Cibolerang No. 69 RT 01/03,-6.950523,107.564855,107.564855,-6.950523,32,4 Kaki,503.645/51-2510 Disbang/2002
218,Bandung Kulon,Cibuntu,PT. Indosat, Tbk,Ji. Holis No. 35 RT 02/01,-6.919555,107.576388,107.576388,-6.919555,32,4 Kaki,503.645/S1-0703 Disbang/2005
219,Bandung Kulon,Caringin,PT. Indosat, Tbk,Area Gerbang Tol Pasir Koja,-6.9310657,107.5702791,107.5702791,-6.9310657,42,4 Kaki,503.645/51-0654 Disbang/2002
220,Bandung Kulon,Cibuntu,PT. Tower Bersama Group,Jl. Bojong Raya No. 48,-6.92754,107.571,107.571,-6.92754,20,4 Kaki,663.10/0010/IMBT/XI/2015/BPPT
221,Bandung Kulon,Cibuntu,PT. Tower Bersama Group,Jl. Cijerah RT 04,-6.92614,107.566,107.566,-6.92614,42,4 Kaki,503.645/2080/BPPT
222,Bandung Kulon,Cigondewah,PT. Tower Bersama Group,Jl. Cigondewah RT 09/06,-6.94483,107.565,107.565,-6.94483,32,4 Kaki,REKOM DISHUBKOMINFO DAN KRK DONE,  PENGESAHAN IMB
223,Bandung Kulon,Cigondewah Rahayu,PT. Tower Bersama Group,Jl. Taman Holis RT 02/03,-6.94841,107.562,107.562,-6.94841,42,4 Kaki,503.645/3513/BPPT
224,Bandung Kulon,Gempol Sari,PT. Tower Bersama Group,Jl. Gempolsari ,-6.92985,107.557,107.557,-6.92985,55,4 Kaki,503.645/33/BPPT
225,Bandung Kulon,Cigondewah Kidul,PT. Solusi Tunas Pratama,Kampung Blok Sawah RT 02 RW  02 ,-6.93978,107.5626,107.5626,-6.93978,32,4 Kaki,Proses
226,Bandung Kulon,Cigondewah Kidul,PT. Solusi Tunas Pratama,Jl. Cigondewah Kidul No.  1 RT 1 RW  1 ,-6.940998,107.56659,107.56659,-6.940998,15,Pole,503.645/SI-0813 Disbang/V-07
227,Bandung Kulon,Warung Muncang,PT. Telkomsel,Jl. Terusan Suryani Cibuntu Timur No. 4 RT 6,-6.923406,107.580133,107.580133,-6.923406,32,4 Kaki,-
228,Bandung Kulon,Cibuntu,PT. Telkomsel,Jl. H. Alfi RT 03/01,-6.919558,107.573243,107.573243,-6.919558,25,Monopole,-
229,Bandung Kulon,Cijerah,PT. Telkomsel,Jl. Mekar Indah No. 1 RT 08/08,-6.923369,107.565003,107.565003,-6.923369,32,Monopole,-
230,Bandung Kulon,Cigondewah Kidul,PT. Telkomsel,Jl. Cigondewah Kidul No. 12 RT 04/04,-6.940984,107.566441,107.566441,-6.940984,42,Monopole,-
231,Bandung Kulon,Cibuntu,PT. Telkomsel,Jl. Holis Ruko 203,-6.934268,107.571503,107.571503,-6.934268,20,4 Kaki,IMB-Bdg 2013_29
232,Bandung Kulon,Cijerah,PT. Telkomsel,Jl. Melong Asih ,-6.91954,107.56551,107.56551,-6.91954,6,Pole,NO NEED
233,Bandung Kulon,Caringin,PT. Telkomsel,Jl. Nana Rohana 99/82 ,-6.92267,107.57691,107.57691,-6.92267,6,Pole,NO NEED
234,Bandung Kulon,Cigondewah Kaler,PT. Telkomsel,Jl. Paralon Gg. Sawargi No. 90 RT 02/01 ,-6.93078,107.568,107.568,-6.93078,6,Pole,NO NEED
235,Bandung Kulon,Cijerah,PT. Telkomsel,Jl. Cijerah RT 1/4 No.  139 ,-6.923231,107.569259,107.569259,-6.923231,6,Pole,NO NEED
236,Bandung Kulon,Cigondewah Kidul,PT. Centratama Menara Indonesia,Cigondewah Kidul RT 04 RW 04 ,-6.941038,107.566069,107.566069,-6.941038,42,4 Kaki,503.645/2421/BPPT 2012
237,Bandung Kulon,Cigondewah Kaler,PT. Centratama Menara Indonesia,Jl. Paralon No. 12 RT  02 RW  11 ,-6.931583,107.5675,107.5675,-6.931583,25,3 Kaki,IMB NY RELEASED
238,Bandung Kulon,Cijerah,PT. Xl Axiata, Tbk,Jl. Raya Jend. Sudirman No. 801 RT 06 RW 06 ,-6.915888889,107.569,-6.915888889,107.569,30,3 Kaki,503.645/SI-2098-DISTARCIP/IV-08
239,Bandung Kulon,Cijerah,PT. Xl Axiata, Tbk,Komplek Mekar Indah Jl. Mekar Asih Af 9 No. 9 ,-6.923027778,107.5644444,-6.923027778,107.5644444,30,3 Kaki,503.645/2359/BPPT
240,Bandung Kulon,Cigondewah Rahayu,PT. Xl Axiata, Tbk,Jl. Cibolerang Barat RT 04 RW 01 ,-6.951256,107.56596,-6.951256,107.56596,42,4 Kaki,503.645/SI-2678 Disbang/2006
241,Bandung Kulon,Cibuntu,PT. Xl Axiata, Tbk,Jl. Cijerah No. 111 RT  08 RW  04 ,-6.92094,107.56986,-6.92094,107.56986,25,3 Kaki,503.645/SI-0484 Disbang/2007
242,Bandung Kulon,Caringin,PT. Xl Axiata, Tbk,Jl. Holis RT 07 RW  07 ,-6.9308,107.57296,-6.9308,107.57296,52,3 Kaki,503.645/SI-2989 Disbang/2006
243,Bandung Kulon,Gempol Sari,PT. Xl Axiata, Tbk,Jl. Jati Gempol Sari RT 07 RW 09 ,-6.93449,107.55415,-6.93449,107.55415,42,3 Kaki,503.645/SI-2613 Disbang/2006
244,Bandung Wetan,Citarum,PT. Protelindo,Jl. Progo No. 6 ,-6.90516,107.61746,107.61746,-6.90516,42,Monopole,503.645/SI-1048 Disbang/2004
245,Bandung Wetan,Taman Sari,PT. Protelindo,Jl. Pajajaran No. 28 RT 06 RW  18,-6.90693,107.60527,107.60527,-6.90693,25,Rooftop Mt,503.645/1705/BPPT
246,Bandung Wetan,Cihapit,PT. Protelindo,Jl. Citarum No. 16 RT 01 RW  03,-6.90441,107.62306,107.62306,-6.90441,6,Pole,tidak diperlukan IMB
247,Bandung Wetan,Taman Sari,PT. Protelindo,Jl. Cihampelas No. 76A RT  02 RW  09,-6.90114,107.60431,107.60431,-6.90114,20,Rooftop Mt,503.645/0191/BPPT
248,Bandung Wetan,Taman Sari,PT. Protelindo,Jl. Cihampelas No. 70 RT  02 RW  09,-6.90158,107.60459,107.60459,-6.90158,20,Rooftop Mt,503.645/SI-0971 Disbang/2007
249,Bandung Wetan,Taman Sari,PT. Protelindo, Tbk,Jl. Ir. H. Juanda No. 61-63,-6.90074,107.61165,107.61165,-6.90074,25,Pole,503.645/949/BPPT
250,Bandung Wetan,Citarum,PT. Protelindo, Tbk,Jl. R.E Martadinata No. 28 RT 02 RW  01 ,-6.90665,107.61574,107.61574,-6.90665,12,Pole,503.646/4404/BPPT
251,Bandung Wetan,Citarum,PT. Protelindo, Tbk,Jl. Wira Angun Angun No.  15 RT 02 RW  02 ,-6.90447,107.61452,107.61452,-6.90447,12,Pole,-
252,Bandung Wetan,Taman Sari,PT. Protelindo, Tbk,Jl. Purnawarman No. 59 ,-6.90329,107.60905,107.60905,-6.90329,15,Pole,663.10/0005/IMBT/XI/2015/BPPT
253,Bandung Wetan,Taman Sari,Daya Mitra Telekomunikasi,Jl. Rangga Gading No. 8,-6.9028684,107.610569,107.610569,-6.9028684,6,Pole,IMB - 503/57/BPPT/IMB/V/2012
254,Bandung Wetan,Taman Sari,Daya Mitra Telekomunikasi,Jl. n Wastukencana Gang Nangkasuni Bandung,-6.9058602,107.6059,107.6059,-6.9058602,3,Pole,-
255,Bandung Wetan,Merdeka,PT. Indosat, Tbk,Pramuka (Jl. Re Martadinata) No. 159 RT 01/02,-6.90934,107.626213,107.626213,-6.90934,20,4 Kaki,503.645.1/SI-1423 Disbang/2002
256,Bandung Wetan,Merdeka,PT. Telkomsel,Jl. Riau-Martadinata No. 56,-6.90634,107.619911,107.619911,-6.90634,15,3 Kaki,-
257,Bandung Wetan,Citarum,PT. Telkomsel,Jl. Trunojoyo  No. 60,-6.901921,107.615667,107.615667,-6.901921,15,3 Kaki,-
258,Bandung Wetan,Taman Sari,PT. Telkomsel,Gedung Dago Office Square Jl. Ir. H. Juanda No. 48 RT  02 RW  04 ,-6.90125,107.612,107.612,-6.90125,6,Pole,NO NEED
259,Bandung Wetan,Taman Sari,PT. Telkomsel,Jl. Pelesiran No. 9 RT 7 RW  4 ,-6.89657,107.60859,107.60859,-6.89657,6,Pole,NO NEED
260,Bandung Wetan,Cihapit,PT. Telkomsel,Jl. Sabang No. 5 RT 06 RW 01 ,-6.908592,107.621412,107.621412,-6.908592,4.2,Pole,NO NEED
261,Bandung Wetan,Taman Sari,PT. Telkomsel,Jl. Tamansari 6 - 8 Bandung Jawa Barat - Indonesia ,-6.9041,107.6084,107.6084,-6.9041,6,Pole,NO NEED
262,Bandung Wetan,Cihapit,PT. Telkomsel,Jl. Citarum No. 16 RT  01 RW  03 ,-6.902661,107.613518,107.613518,-6.902661,6,Pole,NO NEED
263,Bandung Wetan,Taman Sari,PT. Centratama Menara Indonesia,Jl. Cihampelas No. 112 RT 02/RW  07 ,-6.89816,107.60407,107.60407,-6.89816,6,Pole,IMB NR
264,Bandung Wetan,Citarum,PT. Centratama Menara Indonesia,Renarity Fo Jl. L. Re Martadinata (Riau) No. 26 RT 02 RW 01 ,-6.9064,107.61493,107.61493,-6.9064,25,Pole,IMB NY RELEASED
265,Bandung Wetan,Taman Sari,PT. Xl Axiata, Tbk,Jl. H. Juanda (Dago) No. 3 RT 01/01,-6.90606,107.61041,-6.90606,107.61041,9,Pole,503.645/SI-1529 Disbang/2006
266,Bandung Wetan,Citarum,PT. Xl Axiata, Tbk,Grand Hotel Serela Jl. Llre. Martadinata (Riau) No. 56,-6.90631,107.61998,-6.90631,107.61998,9,Pole,503.645/SI-0666 Disbang/07
267,Bandung Wetan,Citarum,Hutchinson,Jl. Martadinata No. 56,-6.906308,107.619976,107.619976,-6.906308,15,Pole,-
268,Bandung Wetan,Cihapit,Naragita,Jl. Taman Cibeunying,-6.90634,107.62495,107.62495,-6.90634,6,Pole,-
269,Bandung Wetan,Taman Sari,Naragita,Jl. Cilaki Depan Gedung Kantar Pos Gedung Sate ,-6.9018,107.62003,107.62003,-6.9018,25,Kaki 3,-
270,Batununggal,Kacapiring,Daya Mitra Telekomunikasi,Jl. Ahmad Yani No. 248,-6.917212,107.627542,107.627542,-6.917212,25,4 Kaki,IMB - 503.645.4/351/BPMPPT/2009
271,Batununggal,Cibangkong,Daya Mitra Telekomunikasi,Jl. Cibangkong,-6.928094,107.632997,107.632997,-6.928094,24,Pole,IMB-503.645/1491/BPPT
272,Batununggal,Kacapiring,Daya Mitra Telekomunikasi,Jl. Jendral Ahmad Yani No. 456,-6.909481,107.641687,107.641687,-6.909481,12,Pole,0
273,Batununggal,Cibangkong,Daya Mitra Telekomunikasi,Jl. Cigondewah Kolot,-6.92474,107.63012,107.63012,-6.92474,6,Pole,-
274,Batununggal,Binong,PT. Indosat, Tbk,Babakan Jati (Kiara Condong - Samping Borma Swalayan)Bi,-6.942666,107.641486,107.641486,-6.942666,32,4 Kaki,503.645/51-3067 Disbang/2002
275,Batununggal,Kacapiring,PT. Indosat, Tbk,Ji. Ahmad Yani No. 312,-6.913528,107.634465,107.634465,-6.913528,25,4 Kaki,503.644.2/51-898/Dpb TAHUN 1997
276,Batununggal,Gumuruh,PT. Indosat, Tbk,Jl. Terusan Rancagoong II RT  05/04,-6.93174,107.637298,107.637298,-6.93174,55,4 Kaki,503 645.3/SI-1557Disbang/2002
277,Batununggal,Binong,PT. Tower Bersama Group,Jl. Kiara Condong No. 350,-6.93696,107.642,107.642,-6.93696,26,4 Kaki,503.645/SI-2194 Disbang/2004
278,Batununggal,Batununggal,PT. Tower Bersama Group,Jl. Suradharma,-6.95166,107.635,107.635,-6.95166,36,Pole,503.645/SI046 DISBANG/2005
279,Batununggal,Samoja,PT. Telkomsel,Jl. Gatot Subroto No. 133,-6.924539,107.627008,107.627008,-6.924539,29,4 Kaki,-
280,Batununggal,Cibangkong,PT. Telkomsel,Jl. Jendral Gatot Subroto,-6.925313,107.637204,107.637204,-6.925313,10,Pole Rooftop,-
281,Batununggal,Kebon Gedang,PT. Telkomsel,Blok Pintu II No. 46 / 126 C RT 04/04\,-6.92524,107.6441,107.6441,-6.92524,6,Pole,NO NEED
282,Batununggal,Gumuruh,PT. Telkomsel,Jl. Soekarno hatta No. 549 RT 01 RW 012 ,-6.94628,107.63723,107.63723,-6.94628,4.2,Pole,NO NEED
283,Batununggal,Binong,PT. Telkomsel,Jl. n.BiNo. ngjati RT 02 RW  04 ,-6.935,107.6399,107.6399,-6.935,4.2,Pole,NO NEED
284,Batununggal,Cibangkong,PT. Telkomsel,Jl. Cibangkong Lor RT  04 RW  011 ,-6.922738,107.633628,107.633628,-6.922738,6,Pole,NO NEED
285,Batununggal,Kacapiring,PT. Protelindo,Jl. Jend. A Yani No. 358 RT  03/07 Kodepos 40271,-6.91247,107.63664,107.63664,-6.91247,40,Rooftop Mt,503.645/SI-0693 Disbang/2007
286,Batununggal,Kacapiring,PT. Protelindo, Tbk,Jl. Sukabumi Dalam No. 14B/123 RT 08/06 ,-6.91762,107.63674,107.63674,-6.91762,15,Pole,-
287,Batununggal,Binong,PT. Protelindo, Tbk,Jl. Babakan Jati II RT 04 RW  08 ,-6.94193,107.64069,107.64069,-6.94193,12,Pole,503.645/2423/BPPT
288,Batununggal,Samoja,PT. Protelindo, Tbk,Jl. Karees No. 36/118 D RT 01 RW  04 ,-6.92327,107.62814,107.62814,-6.92327,12,Pole,503.645/1372/BPPT
289,Batununggal,Kebon Gedang,PT. Solusi Tunas Pratama,-,-6.92859,107.64407,107.64407,-6.92859,15,Pole,503.645/897/BPPT
290,Batununggal,Gumuruh,PT. Solusi Tunas Pratama,Jl. Ibrahim Adjie No. 362 ,-6.9379,107.64203,107.64203,-6.9379,9,Pole,503.645/750/BPPT
291,Batununggal,Gumuruh,PT. Solusi Tunas Pratama,Jl. Libra V No. 11. ,-6.93844,107.63631,107.63631,-6.93844,9,Pole,503.645/2157/BPPT
