No,Lokasi,Kamera
168,Jl. Asia Afrika Simpang Braga,Jl. Asia Afrika Simpang Braga 02
169,Jl. Cigadung,Jl. Cigadung 01
170,Jl. Cigadung,Jl. Cigadung 02
171,Jl. Cikutra Pertigaan Bojong Koneng,Jl. Cikutra Pertigaan Bojong Koneng
172,Jl. Djunjunan BTC,Jl. Djunjunan BTC 01
173,Jl. Djunjunan BTC,Jl. Djunjunan BTC 02
174,Jl. Ir. H. Djuanda Simpang Dago,Jl. Ir. H. Djuanda Simpang Dago
175,Jl. Kliningan Sma 8,Jl. Kliningan Sma 8 01
176,Jl. Kliningan Sma 8,Jl. Kliningan Sma 8 02
177,Jl. Kopo Sebrang Miko Mall,Jl. Kopo Sebrang Miko Mall 01
178,Jl. Kopo Sebrang Miko Mall,Jl. Kopo Sebrang Miko Mall 02
179,Jl. Moh Toha Tegallega,Jl. Moh Toha Tegallega 01
180,Jl. Otista Sebrang Pasar Baru,Jl. Otista Sebrang Pasar Baru 01
181,Jl. Otista Sebrang Pasar Baru,Jl. Otista Sebrang Pasar Baru 02
182,Jl. Perintis Kemerdekaan,Jl. Perintis Kemerdekaan 01
183,Jl. Perintis Kemerdekaan,Jl. Perintis Kemerdekaan 02
184,Jl. Purnawarman BEC,Jl. Purnawarman BEC 01
185,Jl. Purnawarman BEC,Jl. Purnawarman BEC 02
186,Jl. .Soeta Metro Dealer Mercy,Jl. .Soeta Metro Dealer Mercy 01
187,Jl. Sukajadi PVJ,Jl. Sukajadi PVJ 01
188,Jl. Sukajadi PVJ,Jl. Sukajadi PVJ 02
189,Jl. Terusan Buah Batu,Jl. Terusan Buah Batu 01
190,Jl. Terusan Buah Batu,Jl. Terusan Buah Batu 02
191,Jl. Tubagus Ismail,Jl. Tubagus Ismail 01
192,Jl. Waas Pertigaan Komplek Batununggal,Jl. Waas Pertigaan Komplek Batununggal 01
193,Taman Tongkeng,Tongkeng 01
194,Taman Tongkeng,Tongkeng 02
